image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1,method_annotation_missing
set_12_54_obj0,0.02564497081351014,0.02695549482066336,0.0013105240071532194,0.0013105240071532194,0.9284972042159434,0.9629230492905345,0.93951532145003,0.9875269722646176,0.9629230492905345,0
set_12_53_obj3,0.0015784063498367569,0.001765303678957113,0.00018689732912035607,0.00018689732912035607,0.8801313628899836,0.9362445414847161,0.8866832092638545,0.9916743755781684,0.9362445414847161,0
set_12_51_obj0,0.08329610651250383,0.07087840698404356,0.012417699528460266,-0.012417699528460266,0.7756107402861611,0.8736269979547004,0.9501555065807089,0.8085072821914927,0.8736269979547004,0
set_12_48_obj2,0.06888209556612092,0.08307940771747102,0.014197312151350103,0.014197312151350103,0.7908873740022141,0.8832351888603311,0.8077678376609208,0.9742571414900234,0.8832351888603311,0
set_12_48_obj0,0.027697693997823365,0.028383539703073984,0.0006858457052506192,0.0006858457052506192,0.9521801286633309,0.9755043755263447,0.9637185747874841,0.987582014308485,0.9755043755263447,0
set_12_47_obj0,0.0063610224900547485,0.006833668123990705,0.0004726456339359565,0.0004726456339359565,0.7197125256673511,0.8370149253731344,0.8080691642651296,0.8681114551083592,0.8370149253731344,0
set_12_46_obj3,0.03647405226352595,0.028333585918725236,0.008140466344800715,-0.008140466344800715,0.7485834452947018,0.8562170107569987,0.9792160158936349,0.7606695554104589,0.8562170107569987,0
set_12_43_obj3,0.017323202938727085,0.03230204090945389,0.014978837970726806,0.014978837970726806,0.5172654342518311,0.6818390804597702,0.5237506621931838,0.9766216661178795,0.6818390804597702,0
set_12_42_obj3,0.007719858584852645,0.009869895219058324,0.0021500366342056786,0.0021500366342056786,0.702995867768595,0.8255990294206855,0.7356756756756757,0.9405666897028334,0.8255990294206855,0
set_12_37_obj3,0.03446642567386933,0.03377192472655841,0.0006945009473109179,-0.0006945009473109179,0.9652690601723993,0.9823276412724098,0.992428153501979,0.9724306550881039,0.9823276412724098,0
set_12_31_obj1,0.033443438757109166,0.06702848291487493,0.03358504415776576,0.03358504415776576,0.4029498406036883,0.574432283951505,0.43052082435112526,0.8628645495787427,0.574432283951505,0
set_12_31_obj0,0.03548845491814244,0.03395148895435776,0.0015369659637846783,-0.0015369659637846783,0.8503584584307047,0.9191283500299683,0.9399325773827766,0.8992251308900524,0.9191283500299683,0
set_12_30_obj3,0.033856998099126484,0.03395684943158704,9.985133246055711e-05,9.985133246055711e-05,0.9647487410264652,0.9820581338277798,0.9806142452624701,0.9835062807209175,0.9820581338277798,0
set_12_25_obj0,0.0399886401114002,0.05237509212096042,0.01238645200956022,0.01238645200956022,0.7307094423834365,0.8444045250913339,0.7445557639422002,0.9751813669339443,0.8444045250913339,0
set_12_22_obj2,0.010193057447508102,0.012912249936065053,0.0027191924885569506,0.0027191924885569506,0.7658556043079378,0.8674045629094195,0.7760711398544866,0.9831029185867896,0.8674045629094195,0
set_12_7_obj3,0.012798461781119265,0.0,0.012798461781119265,-0.012798461781119265,0.0,0.0,0.0,0.0,0.0,1
set_12_10_obj2,0.023560385692738633,0.04349682180564533,0.0199364361129067,0.0199364361129067,0.4890104960976047,0.6568261236293529,0.506300504659587,0.9347242069162618,0.6568261236293529,0
set_12_7_obj2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1
set_12_5_obj2,0.0,0.006092747160032543,0.006092747160032543,0.006092747160032543,0.0,0.0,0.0,0.0,0.0,0
set_12_4_obj3,0.007685687771850423,0.007247616529542591,0.00043807124230783173,-0.00043807124230783173,0.9384253028263796,0.9682346814789099,0.9974964234620887,0.9406408094435076,0.9682346814789099,0
set_12_4_obj2,0.0044539321104786,0.0043437218484656814,0.00011021026201291865,-0.00011021026201291865,0.9604911906033102,0.9798474945533769,0.9922779922779923,0.9677245831091985,0.9798474945533769,0
set_12_4_obj1,0.0034808331928329475,0.003505356896525298,2.4523703692350303e-05,2.4523703692350303e-05,0.9646551724137931,0.9820096533567354,0.9785745518146043,0.9854689564068693,0.9820096533567354,0
