image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1,method_annotation_missing,mask_resized
set_16_10_obj0,0.06732554876030002,0.0839081010313887,0.01658255227108868,0.01658255227108868,0.599905770239397,0.7499263786637033,0.6758233229348702,0.8422813137711322,0.7499263786637033,0,0
set_16_7_obj2,0.024592128826656515,0.02061141898275449,0.003980709843902027,-0.003980709843902027,0.8182866650280766,0.9000634286843228,0.9869786321862671,0.827217125382263,0.9000634286843228,0,0
set_16_6_obj3,0.054457386691269746,0.05818065326311203,0.0037232665718422847,0.0037232665718422847,0.7362250138263412,0.8480755754161472,0.8209393087772776,0.8770671561014636,0.8480755754161472,0,0
set_16_2_obj1,0.07593430017132156,0.07884125018771818,0.0029069500163966117,0.0029069500163966117,0.8136152447646623,0.89723026657756,0.8806894105413534,0.9144043468828672,0.89723026657756,0,0
set_15_77_obj0,0.0871460662749229,0.06262249547186026,0.02452357080306264,-0.02452357080306264,0.6195788565602698,0.7651110707584287,0.914923493391624,0.6574570117860004,0.7651110707584287,0,0
set_15_76_obj0,0.031488850036507844,0.02466288860754406,0.006825961428963783,-0.006825961428963783,0.6536792266719273,0.7905756039367731,0.8999796292523936,0.7048875179492634,0.7905756039367731,0,0
set_15_38_obj2,0.16257560279547922,0.05466426683530347,0.10791133596017576,-0.10791133596017576,0.2825633268873614,0.44062280741039306,0.8755339345040342,0.29438870160180325,0.44062280741039306,0,0
set_15_31_obj1,0.27206793206793206,0.17678531994321467,0.09528261212471739,-0.09528261212471739,0.6281483515854761,0.7716107085374511,0.9795495913487277,0.6364954024188031,0.7716107085374511,0,0
set_15_25_obj2,0.03436312813300576,0.016141362387007547,0.018221765745998212,-0.018221765745998212,0.44542797494780795,0.6163267664220925,0.9642082429501084,0.45291670204636153,0.6163267664220925,0,0
set_15_25_obj1,0.06553088962432493,0.057933276210390613,0.0075976134139343204,-0.0075976134139343204,0.5796831782750818,0.7339233413981918,0.7820482377285525,0.6913780176938071,0.7339233413981918,0,0
set_15_24_obj3,0.06404581802463799,0.0244723002665514,0.03957351775808659,-0.03957351775808659,0.364728880200813,0.5345074549124292,0.9666764792463939,0.36937301747992174,0.5345074549124292,0,0
set_15_24_obj0,0.09825096628339451,0.06462703891873496,0.03362392736465955,-0.03362392736465955,0.5870701268708641,0.7398162399141831,0.9322707290123892,0.613224469598565,0.7398162399141831,0,0
set_15_22_obj3,0.0,0.0001932152664726292,0.0001932152664726292,0.0001932152664726292,0.0,0.0,0.0,0.0,0.0,0,0
set_15_22_obj2,0.007295215112183654,0.004382017728061579,0.0029131973841220746,-0.0029131973841220746,0.42566467715680956,0.5971455756422455,0.7956389452332657,0.47791653975022846,0.5971455756422455,0,0
set_15_22_obj1,0.044940397517717105,0.03280591115642662,0.012134486361290484,-0.012134486361290484,0.6907747057213249,0.8171102907842757,0.9682296063233827,0.7067951375273094,0.8171102907842757,0,0
set_15_21_obj1,0.006718030630461336,0.012681457295875224,0.005963426665413888,0.005963426665413888,0.3636738906088751,0.533373694566369,0.4079648066682102,0.7701048951048951,0.533373694566369,0,0
set_15_21_obj0,0.07163449218416332,0.06259075766635347,0.009043734517809848,-0.009043734517809848,0.7481574189959672,0.8559382706228621,0.9177755032412146,0.8019078849306901,0.8559382706228621,0,0
set_15_20_obj3,0.10365499427999428,0.08836515086515087,0.015289843414843407,-0.015289843414843407,0.39617890273422907,0.5675188214896613,0.6166177809244462,0.5256623051885064,0.5675188214896613,0,0
set_15_20_obj2,0.1775563122426591,0.19247602900739433,0.014919716764735219,0.014919716764735219,0.7420133742026789,0.8519031887941723,0.8188856895415887,0.8876950852557673,0.8519031887941723,0,0
set_15_17_obj2,0.0515304810083169,0.028366057903912657,0.023164423104404242,-0.023164423104404242,0.323157022837534,0.4884636022178501,0.6879093198992443,0.37867443150305047,0.4884636022178501,0,0
set_15_17_obj1,0.07484221036509607,0.047339149449486986,0.027503060915609084,-0.027503060915609084,0.4219201850780798,0.5934512914378686,0.7658427180759687,0.48441037095167666,0.5934512914378686,0,0
set_15_17_obj0,0.0862165342747867,0.14260444248308327,0.05638790820829656,0.05638790820829656,0.5207009482842898,0.6848170231915269,0.5494236274079995,0.9087613035318205,0.6848170231915269,0,0
set_15_13_obj4,0.010152325392967104,0.005610922054772322,0.0045414033381947815,-0.0045414033381947815,0.39913700107874867,0.5705474171164225,0.8014440433212996,0.4429369513168396,0.5705474171164225,0,0
set_15_13_obj2,0.04096614836410755,0.09469549724651766,0.053729348882410106,0.053729348882410106,0.3091200375117224,0.47225621586126615,0.33827931240913367,0.7819511712958387,0.47225621586126615,0,0
set_15_13_obj1,0.08272779457885304,0.08206625224014337,0.0006615423387096725,-0.0006615423387096725,0.7768426614333698,0.8744079352605085,0.8779322698967841,0.8709117833721176,0.8744079352605085,0,0
