image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1
set_15_6_obj1,0.010852494962664454,0.02064381592983288,0.009791320967168426,0.009791320967168426,0.5164511814534106,0.681131298876933,0.5196016865524357,0.9883959044368601,0.681131298876933
set_15_6_obj2,0.02526910593784295,0.07043220398346837,0.045163098045625426,0.045163098045625426,0.3586369211389929,0.5279363685160786,0.358672589842196,0.9997227869155424,0.5279363685160786
set_15_6_obj3,0.03958082059846165,0.04706490477010961,0.007484084171647962,0.007484084171647962,0.8053944582527847,0.8922088517234347,0.8212710034732,0.9765598839156155,0.8922088517234347
set_15_76_obj0,0.031488850036507844,0.0362834348184321,0.004794584781924259,0.004794584781924259,0.7456325755941854,0.8542835256616176,0.7978399335364165,0.9193213848853906,0.8542835256616176
set_15_77_obj0,0.0871460662749229,0.11284722536991139,0.02570115909498849,0.02570115909498849,0.7425712074058861,0.8522707184073468,0.7552176218248422,0.9779467601502116,0.8522707184073468
set_15_9_obj0,0.03149807645334636,0.022712353444064484,0.008785723009281876,-0.008785723009281876,0.6335825186889017,0.7756969867642918,0.9257267686103176,0.6675148430873622,0.7756969867642918
set_15_9_obj1,0.021447025069131605,0.02499448245420437,0.0035474573850727657,0.0035474573850727657,0.5311931514178705,0.6938290586344259,0.6445916114790287,0.7512106537530266,0.6938290586344259
set_15_9_obj2,0.02679517753047165,0.0075847906730259675,0.01921038685744568,-0.01921038685744568,0.1633045148895293,0.28075970272502065,0.6363069245165315,0.18011654600035318,0.28075970272502065
set_16_10_obj0,0.06732554876030002,0.13021597484466987,0.06289042608436986,0.06289042608436986,0.5130948856249115,0.6782058289926771,0.5144292508534295,0.9949700763225392,0.6782058289926771
set_16_13_obj1,0.10066641867861732,0.24976628110429472,0.1490998624256774,0.1490998624256774,0.3990350994366175,0.5704432999533842,0.400178088074797,0.9928931032797302,0.5704432999533842
set_16_14_obj0,0.2068028891198065,0.2390789227126382,0.03227603359283171,0.03227603359283171,0.8531543044458683,0.9207590564898795,0.858607090308629,0.9926111722041688,0.9207590564898795
set_16_14_obj2,0.19699353091233116,0.206369365283099,0.009375834370767833,0.009375834370767833,0.9215772213197658,0.9591883283116917,0.9373992636307804,0.9820144354812371,0.9591883283116917
set_16_14_obj9,0.13757476481019507,0.17709867452135494,0.03952390971115988,0.03952390971115988,0.7768254911112054,0.8743970581212093,0.7768254911112054,1.0,0.8743970581212093
set_16_15_obj1,0.03652294088397826,0.053154433126884754,0.01663149224290649,0.01663149224290649,0.6863805924059388,0.8140280972122527,0.6866774588188772,0.999370537560923,0.8140280972122527
set_16_15_obj2,0.13476563557143242,0.20136261535547076,0.06659697978403833,0.06659697978403833,0.659089391146376,0.7945194450203398,0.6631331017196309,0.990832827113947,0.7945194450203398
set_16_16_obj0,0.040766521342890216,0.08534052562871007,0.044574004285819854,0.044574004285819854,0.45366837024417944,0.6241703809899567,0.4611659172116811,0.9654034850279141,0.6241703809899567
set_16_19_obj1,0.17388937324421194,0.25174852271626463,0.07785914947205269,0.07785914947205269,0.6621561810801712,0.7967436377126262,0.6735377866707711,0.9751150379374506,0.7967436377126262
set_16_28_obj0,0.19227933758082746,0.20399709331079022,0.011717755729962753,0.011717755729962753,0.9127697498249411,0.9543958439414664,0.9269852147322554,0.9834769129468572,0.9543958439414664
set_16_29_obj0,0.14083984144874762,0.1490358429871305,0.008196001538382874,0.008196001538382874,0.8713752646119622,0.9312672675436326,0.90566044771945,0.958364244787145,0.9312672675436326
set_16_2_obj1,0.07593430017132156,0.11118662404570209,0.03525232387438053,0.03525232387438053,0.6791319025470196,0.8089083430752128,0.6806739482479413,0.9966752602025115,0.8089083430752128
